sampling date,depth(cm),Plot,Trt,Fraction,d13C,d15N (Air),%C,% N,C:N,% fraction,BulkDensity(g/cc),mass soil fract (g),mass C fraction (g),proportion of C
20170601,10-14,1,C,DF,-24.62,3.78,1.419339554,0.090110659,15.75107276,98.39362067,0.849,33.25901166,0.472058308,0.565576375
20170601,10-14,1,C,fLF,-26.64,0.3,34.06421449,0.70450613,48.35190647,1.600967495,0.849,0.541159033,0.184341574,0.220860934
20170601,10-14,1,C,oLF,-26.61,0.43,40.95523813,0.879106455,46.58734773,1.287590954,0.849,0.435231494,0.178250095,0.213562691
20170601,40-44,1,C,DF,-22.74,8.73,0.285868885,0.0208645,13.7012097,100.118136,0.403,61.04392979,0.174505601,0.683543062
20170601,40-44,1,C,fLF,-26.24,2.24,34.42430535,0.542438292,63.46215942,0.279542262,0.403,0.170442228,0.058673553,0.229825861
20170601,40-44,1,C,oLF,-25.83,1.82,44.22908591,0.630160053,70.18706704,0.082012399,0.403,0.050004518,0.022116541,0.086631077
20170601,85-89,1,C,DF,-22.47,7.44,0.245186725,0.015322487,16.00175761,99.94127965,0.862,18.01401589,0.044167976,0.603168158
20170601,85-89,1,C,fLF,-26.15,1.43,39.96735808,0.630239373,63.41615546,0.320815064,0.862,0.057825632,0.023111377,0.315614351
20170601,85-89,1,C,oLF,-24.93,1.14,44.03657149,0.735315955,59.88795862,0.074927202,0.862,0.013505329,0.005947284,0.08121749
20170601,10-14,1,H,DF,-24.33,2.67,3.333549041,0.196078604,17.00108516,93.05132508,1.134,37.80051894,1.260098837,0.51425406
20170601,10-14,1,H,fLF,-25.9,0.4,31.56282697,0.82491038,38.26212853,7.245410366,1.134,2.943324789,0.92899651,0.379129171
20170601,10-14,1,H,oLF,-25.03,0.78,46.70664707,1.189863096,39.25379923,1.376887662,1.134,0.559337205,0.261247655,0.106616769
20170601,40-44,1,H,DF,-23.23,6.99,0.70991976,0.046525842,15.25861163,99.26414434,0.999,61.66229088,0.437752787,0.505386361
20170601,40-44,1,H,fLF,-26.11,1.18,35.91889643,0.664287089,54.0713451,1.374681026,0.999,0.853943605,0.306727119,0.354116997
20170601,40-44,1,H,oLF,-25.65,1.3,46.86884363,0.787404745,59.52319175,0.417984194,0.999,0.259649273,0.121694612,0.140496643
20170601,85-89,1,H,DF,-21.63,8.76,0.11346122,0.00758095,14.96662322,100.4424878,1.43,89.67234112,0.101743332,0.901083876
20170601,85-89,1,H,fLF,-26.03,0.76,43.76684883,0.767380897,57.03406092,0.015676755,1.43,0.013995784,0.006125514,0.054250253
20170601,85-89,1,H,oLF,-25.41,1.73,44.68286455,1.419390821,31.48031106,0.012642545,1.43,0.011286922,0.00504332,0.044665871
20170601,10-14,2,C,DF,-24.58,2.73,2.303384385,0.096713513,23.81657243,94.63034067,0.727,25.60034606,0.589674374,0.491820635
20170601,10-14,2,C,fLF,-25.55,0.42,34.44639403,0.609516973,56.51424907,5.744350511,0.727,1.554019144,0.535303558,0.446472404
20170601,10-14,2,C,oLF,-25.52,0.27,44.9513165,0.751239186,59.83622442,0.608389653,0.727,0.164587653,0.073984317,0.061706961
20170601,40-44,2,C,DF,-23.44,5.33,0.541650119,0.035141511,15.41339874,99.14472256,0.974,51.02562463,0.276380356,0.387560077
20170601,40-44,2,C,fLF,-24.94,0.19,40.14241906,0.577018822,69.56864761,1.434978658,0.974,0.738523246,0.296461096,0.415718711
20170601,40-44,2,C,oLF,-24.65,0.67,47.54843752,0.645774798,73.63006065,0.573276782,0.974,0.295041482,0.140287615,0.196721212
20170601,85-89,2,C,DF,-22.19,8.14,0.137800969,0.010483527,13.14452372,100.5881076,0.372,55.73687627,0.076805955,0.714221242
20170601,85-89,2,C,fLF,-26.26,1.79,39.22896048,0.643918883,60.92220853,0.129300365,0.372,0.071646625,0.028106226,0.261360772
20170601,85-89,2,C,oLF,-25.85,5.32,42.64749362,0.850723572,50.13084744,0.01111175,0.372,0.006157132,0.002625862,0.024417986
20170601,10-14,2,H,DF,-25.27,1.38,3.186362551,0.14150945,22.51695953,69.08060262,0.683,6.204612486,0.197701449,0.140803888
20170601,10-14,2,H,fLF,-25.5,-0.37,43.12249604,0.548276612,78.65098587,29.13021083,0.683,2.616388146,1.128251874,0.803546214
20170601,10-14,2,H,oLF,-25.84,-0.75,45.82334676,0.817907685,56.025084,1.89851584,1.128,0.170518997,0.078137511,0.055649898
20170601,40-44,2,H,DF,-24.19,3.63,0.901680902,0.056777481,15.88096009,94.07851353,1.128,43.56108004,0.392781939,0.21474679
20170601,40-44,2,H,fLF,-25.63,-0.09,44.2014828,0.545300898,81.05888508,5.888997409,1.128,2.726776581,1.205275682,0.658963812
20170601,40-44,2,H,oLF,-26.06,0.51,46.62351228,0.756767859,61.60873741,1.069987094,1.128,0.495435054,0.230989223,0.126289397
20170601,85-89,2,H,DF,-21.65,6.57,0.049121684,0.003842796,12.78279679,101.5656158,1.391,76.70326711,0.037677936,0.79329386
20170601,85-89,2,H,fLF,-25.04,0.96,50.19659446,0.483683964,103.7797367,0.010151638,1.391,0.007666608,0.003848376,0.081026023
20170601,85-89,2,H,oLF,-25.05,1.97,45.80020168,1.08737684,42.11989808,0.017257785,1.391,0.013033234,0.005969248,0.125680118
20170601,10-14,3,C,DF,-24.81,3.3,1.23867498,0.071504839,17.32295331,98.21625656,0.905,59.77549412,0.74042409,0.524231577
20170601,10-14,3,C,fLF,-26.58,0.36,33.18595394,0.756301626,43.87925768,2.344958074,0.905,1.427167278,0.473619076,0.335329547
20170601,10-14,3,C,oLF,-26.27,1.09,44.49859087,0.802169748,55.47278612,0.7324174,0.905,0.445757286,0.198355711,0.140438876
20170601,40-44,3,C,DF,-23.07,7.76,0.216961002,0.01379681,15.72544683,99.78636153,1.237,72.90531274,0.158176097,0.386027504
20170601,40-44,3,C,fLF,-25.5,1.88,42.81989652,0.365481321,117.1602873,0.693419956,1.237,0.506622328,0.216935156,0.529428521
20170601,40-44,3,C,oLF,-25.73,1.5,43.29601639,0.467732442,92.56577585,0.109513923,1.237,0.080012405,0.034642184,0.084543975
20170601,85-89,3,C,DF,-23.09,8.07,0.111653902,0.007412598,15.06272274,100.246152,1.433,64.32845698,0.071825232,0.447114824
20170601,85-89,3,C,fLF,-25.02,2.24,40.47703145,0.577877918,70.04426058,0.26782785,1.433,0.171866471,0.069566445,0.433053789
20170601,85-89,3,C,oLF,-28.83,0.45,24.72475447,0.257257918,96.10881822,0.12132803,1.433,0.077856803,0.019249903,0.119831387
20170601,10-14,3,H,DF,-24.82,3.51,1.134934626,0.063045959,18.00170294,93.99758939,1.055,39.82019879,0.451933224,0.331748135
20170601,10-14,3,H,fLF,-26.48,-0.29,29.3753346,0.670094259,43.83761571,5.466292175,1.055,2.315685354,0.680240321,0.499340269
20170601,10-14,3,H,oLF,-26.61,0.75,43.91680137,0.813978606,53.95326243,1.236823803,1.055,0.523955668,0.23010457,0.168911595
20170601,40-44,3,H,DF,-23.06,7.57,0.199152607,0.014197614,14.02718837,99.97662703,1.312,59.29873688,0.11809498,0.580062018
20170601,40-44,3,H,fLF,-26.73,1.33,38.90727035,0.658141216,59.11690292,0.269037136,1.312,0.15957292,0.062085467,0.304953026
20170601,40-44,3,H,oLF,-26.2,1,45.50785327,0.774122246,58.78639132,0.086729077,1.312,0.05144127,0.023409818,0.114984956
20170601,85-89,3,H,DF,-22.71,8.61,0.074545607,0.005441775,13.69876747,100.4686609,1.427,72.82852666,0.054290467,0.630159501
20170601,85-89,3,H,fLF,-27.13,2.88,39.14777347,0.655949505,59.68107788,0.031254676,1.427,0.02265614,0.008869374,0.102948468
20170601,85-89,3,H,oLF,-27.14,-3.7,44.31248715,1.165509334,38.01984752,0.071583291,1.427,0.051889868,0.022993691,0.26689203
20170601,10-14,3,H,fLF,65.52,0.4,32.96345769,0.737047992,44.7236246,3.069270519,1.055,1.374710919,0.453152252,0.337923827
20170601,10-14,3,H,oLF,-16.75,0.79,54.09482196,0.96321899,56.16046039,1.216702855,1.055,0.544955125,0.294792505,0.2198321
20170601,10-14,3,H,DF,27.77,3.58,1.370174953,0.073819608,18.56112469,96.6351467,1.055,43.28239903,0.593044591,0.442244073
20170601,40-44,3,H,fLF,628.73,2.24,27.30386986,0.554105824,49.2755511,0.214968263,1.312,0.224010903,0.061163645,0.223803477
20170601,40-44,3,H,oLF,134.19,1.52,46.65077125,0.797528101,58.49420378,0.030491952,1.312,0.031774596,0.014823094,0.054239083
20170601,40-44,3,H,DF,152.66,4.85,0.186736594,0.026452491,7.059319931,101.3943806,1.312,105.6595352,0.197305017,0.72195744
20170601,85-89,3,H,fLF,1982.29,1,41.73793655,0.869634764,47.99478847,0.038100508,1.427,0.035931217,0.014996949,0.148565846
20170601,85-89,3,H,oLF,565.98,7.45,41.70510708,1.738056013,23.99526066,0.002540034,1.427,0.002395414,0.00099901,0.009896599
20170601,85-89,3,H,DF,319.32,2.24,0.088754948,0.031791622,2.79177162,101.4901002,1.427,95.71165986,0.084948834,0.841537554
20170601,10-14,2,H,fLF,-12.86,0.32,51.04466628,0.538171114,94.84839477,10.66747221,0.683,4.626952068,2.361812242,0.727707149
20170601,10-14,2,H,oLF,-20.68,1.4,50.83727363,0.615330181,82.61787768,1.277758419,0.683,0.554220048,0.281750362,0.086811199
20170601,10-14,2,H,DF,2.23,2.55,1.512651662,0.089025402,16.99123661,91.75236612,1.128,39.79703829,0.601990561,0.185481652
20170601,40-44,2,H,fLF,7.21,-0.18,45.36008929,0.592060565,76.61393443,2.483085265,1.128,1.610471992,0.730511534,0.631042564
20170601,40-44,2,H,oLF,-3.35,0.78,48.69701317,0.633885483,76.82304527,0.491855527,1.128,0.319006182,0.155346482,0.13419397
20170601,40-44,2,H,DF,74.71,4.08,0.429016253,0.043254216,9.918484145,97.67055315,1.128,63.34687435,0.271768386,0.234763466
20170601,85-89,2,H,fLF,522.98,-0.06,46.05908787,0.705994837,65.23997833,0.054861595,1.391,0.049221987,0.022671198,0.249115232
20170601,85-89,2,H,oLF,143.34,1.37,39.94500724,1.241678726,32.17016317,0.004026539,1.391,0.003612623,0.001443062,0.015856632
20170601,85-89,2,H,DF,362.07,1.37,0.074162577,0.035313975,2.100091491,100.5316073,1.391,90.19725964,0.066892612,0.735028136
20170601,10-14,2,H,fLF,-13.23,-0.45,41.18129489,0.703988589,58.49710564,22.76098405,0.683,3.846287651,1.58395106,0.750466347
20170601,10-14,2,H,oLF,-19.36,0.88,45.48378378,0.831081081,54.72845528,3.691652352,0.683,0.623837564,0.283744929,0.134436616
20170601,10-14,2,H,DF,-6.13,1.66,1.842634621,0.09443882,19.51141079,78.01618831,1.128,13.1836436,0.242926381,0.115097037
20170601,40-44,2,H,fLF,33.55,0.35,37.05865859,0.684163302,54.16639344,0.798777391,1.128,0.550122782,0.203868124,0.363459064
20170601,40-44,2,H,oLF,-0.88,1.11,46.30268951,0.733185127,63.15279429,0.21398533,1.128,0.147372981,0.068237654,0.121655084
20170601,40-44,2,H,DF,85.28,4.43,0.420843457,0.05202913,8.088612275,99.64381198,1.128,68.62529118,0.288805048,0.514885851
20170601,85-89,2,H,fLF,78.36,-0.64,43,0.755308392,56.93038822,2.994346911,1.391,2.208381751,0.949604153,0.850044813
20170601,85-89,2,H,oLF,13.21,0.04,39.87285006,0.724912947,55.00363901,0.102211606,1.391,0.075382797,0.03005727,0.026905976
20170601,85-89,2,H,DF,207.41,3,0.189706228,0.030664842,6.186440678,98.24851496,1.391,72.45995001,0.137461038,0.123049212