Depth,BD.g.cc_mean,Plot,Treatment,MidDepth,Date,C13,%C,%N,CN,Instrument,MB_C.mg.gdrysoil
0-10,0.805036342,1,Control,5,20140603,NA,24.81805675,0.371855202,66.74,UCBerk_IRMS,1.567165649
0-10,0.805036342,1,Control,5,20160517,-25.42,24.74,0.54,45.54,LBL_IRMS,2.591858299
0-10,0.805036342,1,Control,5,20180404,-25.72,4.206785602,0.17983924,23.39192271,UCD_SIF_IRMS,0.304128889
0-10,0.805036342,1,Control,5,20180404,-24.145,5.50972415,0.1435496,38.3820237,UZH,NA
10-20,0.988212608,1,Control,15,20140603,NA,13.88714868,0.250951687,55.34,UCBerk_IRMS,0.322979493
10-20,0.988212608,1,Control,15,20160517,-24.44,9.33,0.21,44.92,LBL_IRMS,0.611458614
10-20,0.988212608,1,Control,15,20180404,-24.38,4.841106327,0.193581151,25.00814927,UCD_SIF_IRMS,0.188904975
10-20,0.988212608,1,Control,15,20180404,-24.26533333,4.3887077,0.1503111,29.19749573,UZH,NA
20-30,1.142677254,1,Control,25,20140603,NA,2.412618284,0.156874028,15.38,UCBerk_IRMS,0.12003749
20-30,1.142677254,1,Control,25,20160517,-24,2.6,0.11,23.98,LBL_IRMS,NA
20-30,1.142677254,1,Control,25,20180404,-24.52,2.510389619,0.104061519,24.12409158,UCD_SIF_IRMS,NA
20-30,1.142677254,1,Control,25,20180404,-24.486,2.22168515,0.065019933,34.16929296,UZH,NA
30-40,1.268430279,1,Control,35,20140603,NA,1.783616949,0.060796134,29.34,UCBerk_IRMS,0.250471826
30-40,1.268430279,1,Control,35,20160517,-23.49,1.53,0.07,23.05,LBL_IRMS,0.225155832
30-40,1.268430279,1,Control,35,20180404,-23.98,1.577132537,0.071515088,22.05314403,UCD_SIF_IRMS,0.09631527
30-40,1.268430279,1,Control,35,20180404,-25.26733333,1.943991067,0.0535302,36.31578187,UZH,NA
40-50,1.365471685,1,Control,45,20140603,NA,0.879966916,0.034789539,25.29,UCBerk_IRMS,0.163498665
40-50,1.365471685,1,Control,45,20160517,-23.07,0.79,0.04,21.59,LBL_IRMS,NA
40-50,1.365471685,1,Control,45,20180404,-24.5145,0.9955417,0.03869285,25.72934534,UZH,NA
40-50,1.365471685,1,Control,45,20180404,-23.99,0.760479707,0.03687329,20.62413517,UCD_SIF_IRMS,NA
50-60,1.43380147,1,Control,55,20140603,NA,0.76206875,0.029850697,25.53,UCBerk_IRMS,0.152517068
50-60,1.43380147,1,Control,55,20160517,NA,0.45,0.02,18.25,LBL_IRMS,0.02584195
50-60,1.43380147,1,Control,55,20180404,-23.627,0.3505783,0.01595615,21.97135901,UZH,NA
50-60,1.43380147,1,Control,55,20180404,-24.49,1.294255908,0.05868182,22.05548345,UCD_SIF_IRMS,0.171712748
60-70,1.473419635,1,Control,65,20140603,NA,0.30779662,0.014189713,21.69,UCBerk_IRMS,0.037794511
60-70,1.473419635,1,Control,65,20160517,-23.89,0.52,0.02,29.67,LBL_IRMS,NA
60-70,1.473419635,1,Control,65,20180404,-24.227,0.5382713,0.01763995,30.51433252,UZH,NA
60-70,1.473419635,1,Control,65,20180404,-24.47,1.049642555,0.037585606,27.92671627,UCD_SIF_IRMS,NA
70-80,1.484326179,1,Control,75,20140603,NA,0.288292951,0.015495548,18.6,UCBerk_IRMS,0
70-80,1.484326179,1,Control,75,20160517,-23.65,0.74,0.03,25.5,LBL_IRMS,NA
70-80,1.484326179,1,Control,75,20180404,-24.78,0.97906329,0.0318584,30.73171545,UCD_SIF_IRMS,NA
70-80,1.484326179,1,Control,75,20180404,-25.031,1.372214267,0.03441025,39.87806734,UZH,NA
80-90,1.466521104,1,Control,85,20140603,NA,0.092130861,0.005868946,15.7,UCBerk_IRMS,0
80-90,1.466521104,1,Control,85,20160517,-23.88,1.1,0.03,35.1,LBL_IRMS,0.129344508
80-90,1.466521104,1,Control,85,20180404,-24.15,0.643878691,0.022235405,28.95736292,UCD_SIF_IRMS,0.034059689
80-90,1.466521104,1,Control,85,20180404,-24.2085,0.3372298,0.012,28.10248333,UZH,NA
90-100,1.350239042,1,Control,95,20140603,NA,0.404238206,0.012276172,32.93,UCBerk_IRMS,0
90-100,1.350239042,1,Control,95,20160517,-23.41,0.37,0.01,27.77,LBL_IRMS,NA
0-10,0.805036342,1,Heated,5,20140603,NA,4.650094693,0.111142746,41.84,UCBerk_IRMS,0.191124836
0-10,0.805036342,1,Heated,5,20160517,-24.87,15.43,0.35,43.7,LBL_IRMS,0.551583704
0-10,0.805036342,1,Heated,5,20180404,-24.97233333,20.35323,0.462814067,43.97712055,UZH,NA
0-10,0.805036342,1,Heated,5,20180404,-25.92,8.578171734,0.321566108,26.67623085,UCD_SIF_IRMS,0.281882954
10-20,0.988212608,1,Heated,15,20140603,NA,14.68677436,0.266682423,55.07,UCBerk_IRMS,0.324208479
10-20,0.988212608,1,Heated,15,20160517,-24.01,8.04,0.14,58.61,LBL_IRMS,0.551583704
10-20,0.988212608,1,Heated,15,20180404,-24.76,2.562069536,0.102431612,25.01248875,UCD_SIF_IRMS,0.163386535
10-20,0.988212608,1,Heated,15,20180404,-23.91,8.857232933,0.147759067,59.94375258,UZH,NA
20-30,1.142677254,1,Heated,25,20140603,NA,6.955690164,0.060944375,114.13,UCBerk_IRMS,0.07490524
20-30,1.142677254,1,Heated,25,20160517,-24.08,3.53,0.09,39.69,LBL_IRMS,NA
20-30,1.142677254,1,Heated,25,20180404,-24.458,1.0870802,0.03463165,31.3897894,UZH,NA
20-30,1.142677254,1,Heated,25,20180404,-24.13,0.601733505,0.033877372,17.76210704,UCD_SIF_IRMS,NA
30-40,1.268430279,1,Heated,35,20140603,NA,1.484062161,0.035076079,42.31,UCBerk_IRMS,0.450954707
30-40,1.268430279,1,Heated,35,20160517,-23.28,0.73,0.03,25.67,LBL_IRMS,0.034652775
30-40,1.268430279,1,Heated,35,20180404,-23.63033333,0.4553436,0.014641367,31.0998017,UZH,NA
30-40,1.268430279,1,Heated,35,20180404,-24.4,0.420802663,0.017748992,23.70853847,UCD_SIF_IRMS,0.021629354
40-50,1.365471685,1,Heated,45,20140603,NA,9.519232877,0.034659554,274.65,UCBerk_IRMS,2.980011107
40-50,1.365471685,1,Heated,45,20160517,-24.79,5.61,0.06,87.6,LBL_IRMS,NA
40-50,1.365471685,1,Heated,45,20180404,-22.9,0.303520809,0.015125336,20.06704544,UCD_SIF_IRMS,NA
40-50,1.365471685,1,Heated,45,20180404,-23.9545,0.62236085,0.022527,27.62732943,UZH,NA
50-60,1.43380147,1,Heated,55,20140603,NA,5.420749385,0.022195985,244.22,UCBerk_IRMS,0.55503257
50-60,1.43380147,1,Heated,55,20160517,NA,19.91,0.16,125.02,LBL_IRMS,2.570514424
50-60,1.43380147,1,Heated,55,20180404,-24.89,1.472284449,0.03675688,40.05466293,UCD_SIF_IRMS,0.164176996
50-60,1.43380147,1,Heated,55,20180404,-24.121,0.56048315,0.017164,32.65457644,UZH,NA
60-70,1.473419635,1,Heated,65,20140603,NA,3.650416386,3.058767145,1.19,UCBerk_IRMS,0.079922942
60-70,1.473419635,1,Heated,65,20160517,-24.66,1.75,0.04,48.98,LBL_IRMS,NA
60-70,1.473419635,1,Heated,65,20180404,-23.773,0.3245994,0.01137245,28.54260955,UZH,NA
70-80,1.484326179,1,Heated,75,20160517,NA,6.3,0.1,60.39,LBL_IRMS,NA
70-80,1.484326179,1,Heated,75,20180404,-24.67,1.836632964,0.045713159,40.17733598,UCD_SIF_IRMS,NA
70-80,1.484326179,1,Heated,75,20180404,-23.106,0.2321293,0.0075279,30.83586392,UZH,NA
80-90,1.466521104,1,Heated,85,20140603,NA,0.202920605,0.95423197,0.21,UCBerk_IRMS,0
80-90,1.466521104,1,Heated,85,20160517,NA,2.98,0.06,53.71,LBL_IRMS,0.35213308
80-90,1.466521104,1,Heated,85,20180404,-22.68,0.299423167,0.011336622,26.41202687,UCD_SIF_IRMS,0.000233742
80-90,1.466521104,1,Heated,85,20180404,-23.3385,0.2228916,0.00363685,61.28699286,UZH,NA
0-10,0.805036342,2,Control,5,20140603,NA,8.857093678,0.179080811,49.46,UCBerk_IRMS,1.883555896
0-10,0.805036342,2,Control,5,20160517,-25.99,8.56,0.31,27.76,LBL_IRMS,0.69028306
0-10,0.805036342,2,Control,5,20180404,-26.524,9.1932245,0.2842215,32.34528176,UZH,NA
0-10,0.805036342,2,Control,5,20180404,-25.93,5.375906336,0.204714735,26.26047576,UCD_SIF_IRMS,0.000233742
10-20,0.988212608,2,Control,15,20140603,NA,5.090220028,0.194052374,26.23,UCBerk_IRMS,0.633639585
10-20,0.988212608,2,Control,15,20160517,-24.76,7.86,0.28,28.28,LBL_IRMS,0.69028306
10-20,0.988212608,2,Control,15,20180404,-25.21,7.63333994,0.243694028,31.32345918,UCD_SIF_IRMS,0.274390184
10-20,0.988212608,2,Control,15,20180404,-25.246,3.80162925,0.16961445,22.41335718,UZH,NA
20-30,1.142677254,2,Control,25,20140603,NA,6.033406941,0.165952275,36.36,UCBerk_IRMS,0.389773267
20-30,1.142677254,2,Control,25,20160517,-24.71,4.62,0.2,22.79,LBL_IRMS,NA
20-30,1.142677254,2,Control,25,20180404,-25.37,3.340911577,0.128838511,25.9310012,UCD_SIF_IRMS,NA
20-30,1.142677254,2,Control,25,20180404,-24.7165,3.73838875,0.15175835,24.63382575,UZH,NA
30-40,1.268430279,2,Control,35,20140603,NA,3.875322051,0.109436132,35.41,UCBerk_IRMS,0.326502352
30-40,1.268430279,2,Control,35,20160517,-24.54,1.75,0.07,23.39,LBL_IRMS,0.162241305
30-40,1.268430279,2,Control,35,20180404,-24.73,2.005452793,0.087922672,22.80927933,UCD_SIF_IRMS,0.176733034
30-40,1.268430279,2,Control,35,20180404,-24.747,1.4121128,0.063395,22.27482925,UZH,NA
40-50,1.365471685,2,Control,45,20140603,NA,2.593063008,0.066182714,39.18,UCBerk_IRMS,0.238650442
40-50,1.365471685,2,Control,45,20160517,NA,0.53,0.02,24.87,LBL_IRMS,NA
40-50,1.365471685,2,Control,45,20180404,-24.674,0.76593875,0.032098,23.86250701,UZH,NA
40-50,1.365471685,2,Control,45,20180404,-24.57,0.9223537,0.036225972,25.4611165,UCD_SIF_IRMS,NA
50-60,1.43380147,2,Control,55,20140603,NA,1.69466292,0.027628865,61.34,UCBerk_IRMS,0.187093384
50-60,1.43380147,2,Control,55,20160517,-24.17,0.65,0.03,22.89,LBL_IRMS,0.082389288
50-60,1.43380147,2,Control,55,20180404,-24.23,0.712183823,0.038188049,18.64939012,UCD_SIF_IRMS,0.06203246
50-60,1.43380147,2,Control,55,20180404,-24.0365,0.68497465,0.03143695,21.78883925,UZH,NA
60-70,1.473419635,2,Control,65,20140603,NA,0.78090642,0.024188368,32.28,UCBerk_IRMS,0.092423919
60-70,1.473419635,2,Control,65,20160517,-23.85,0.47,0.02,23.12,LBL_IRMS,NA
60-70,1.473419635,2,Control,65,20180404,-23.8275,0.5078389,0.02467385,20.58206968,UZH,NA
60-70,1.473419635,2,Control,65,20180404,-23.93,0.88098106,0.034302227,25.68291167,UCD_SIF_IRMS,NA
70-80,1.484326179,2,Control,75,20140603,NA,0.604836213,2.804256276,0.22,UCBerk_IRMS,0.072798422
70-80,1.484326179,2,Control,75,20160517,-23.87,0.88,0.02,52.93,LBL_IRMS,NA
70-80,1.484326179,2,Control,75,20180404,-24.22,0.614885956,0.025618883,24.00127897,UCD_SIF_IRMS,NA
70-80,1.484326179,2,Control,75,20180404,-23.725,0.3913852,0.01918895,20.39638438,UZH,NA
80-90,1.466521104,2,Control,85,20140603,NA,0.887432341,0.018422967,48.17,UCBerk_IRMS,0.060606894
80-90,1.466521104,2,Control,85,20160517,-24.02,0.69,0.02,43.63,LBL_IRMS,0.080852035
80-90,1.466521104,2,Control,85,20180404,-25.16,1.094471625,0.02324775,47.07860449,UCD_SIF_IRMS,0
80-90,1.466521104,2,Control,85,20180404,-24.39133333,0.426546733,0.015303833,27.87188831,UZH,NA
90-100,1.350239042,2,Control,95,20140603,NA,0.400161467,0.516086643,0.78,UCBerk_IRMS,0
90-100,1.350239042,2,Control,95,20160517,-23.78,0.41,0.02,23.56,LBL_IRMS,NA
0-10,0.805036342,2,Heated,5,20140603,NA,5.714925954,0.15689309,36.43,UCBerk_IRMS,0.655852861
0-10,0.805036342,2,Heated,5,20160517,-25.59,6.76,0.21,32.35,LBL_IRMS,1.088263153
0-10,0.805036342,2,Heated,5,20180404,-25.6,10.58083889,0.276147567,38.31588671,UCD_SIF_IRMS,0.473871498
0-10,0.805036342,2,Heated,5,20180404,-25.0975,6.70732415,0.2559378,26.20685241,UZH,NA
10-20,0.988212608,2,Heated,15,20140603,NA,4.099696558,0.101733111,40.3,UCBerk_IRMS,0.529585967
10-20,0.988212608,2,Heated,15,20160517,-25.18,3.09,0.12,25.92,LBL_IRMS,0.329057065
10-20,0.988212608,2,Heated,15,20180404,-25.279,4.544249,0.1851358,24.54549039,UZH,NA
10-20,0.988212608,2,Heated,15,20180404,-25.49,3.780249251,0.155630505,24.28989903,UCD_SIF_IRMS,0.24905703
20-30,1.142677254,2,Heated,25,20140603,NA,2.831114517,0.052965517,53.45,UCBerk_IRMS,0
20-30,1.142677254,2,Heated,25,20160517,-25.06,3.18,0.13,24.44,LBL_IRMS,NA
20-30,1.142677254,2,Heated,25,20180404,-25.174,2.083545933,0.084572067,24.63633698,UZH,NA
20-30,1.142677254,2,Heated,25,20180404,-24.95,1.708355177,0.077582972,22.01971822,UCD_SIF_IRMS,NA
30-40,1.268430279,2,Heated,35,20140603,NA,1.334736365,0.044767294,29.81,UCBerk_IRMS,0.31403604
30-40,1.268430279,2,Heated,35,20160517,-24.6,1,0.04,23.36,LBL_IRMS,0.215286757
30-40,1.268430279,2,Heated,35,20180404,-25.64,1.831223953,0.05739052,31.90812615,UCD_SIF_IRMS,0.174807026
30-40,1.268430279,2,Heated,35,20180404,-24.609,0.85070105,0.0429321,19.81503467,UZH,NA
40-50,1.365471685,2,Heated,45,20140603,NA,1.048432152,0.034320404,30.55,UCBerk_IRMS,0.175706988
40-50,1.365471685,2,Heated,45,20160517,-25.16,1.03,0.03,31.39,LBL_IRMS,NA
40-50,1.365471685,2,Heated,45,20180404,-24.98433333,0.667209567,0.028282333,23.59103681,UZH,NA
40-50,1.365471685,2,Heated,45,20180404,-24.52,0.938158262,0.044079105,21.28351418,UCD_SIF_IRMS,NA
50-60,1.43380147,2,Heated,55,20140603,NA,1.538420366,0.02143897,71.76,UCBerk_IRMS,0.240710006
50-60,1.43380147,2,Heated,55,20160517,NA,0.28,0.02,17.9,LBL_IRMS,0.057044768
50-60,1.43380147,2,Heated,55,20180404,-23.78,0.40482835,0.02148787,18.83985497,UCD_SIF_IRMS,0.019521374
50-60,1.43380147,2,Heated,55,20180404,-23.8255,0.2427918,0.0135916,17.86337149,UZH,NA
60-70,1.473419635,2,Heated,65,20140603,NA,0.473407455,2.780944923,0.17,UCBerk_IRMS,0.126949677
60-70,1.473419635,2,Heated,65,20160517,NA,0.19,0.01,21.16,LBL_IRMS,NA
60-70,1.473419635,2,Heated,65,20180404,-24.03,0.266850894,0.011480781,23.2432702,UCD_SIF_IRMS,NA
60-70,1.473419635,2,Heated,65,20180404,-23.5345,0.2196366,0.01200555,18.29458875,UZH,NA
70-80,1.484326179,2,Heated,75,20140603,NA,0.455839708,0.011140414,40.92,UCBerk_IRMS,0.092937642
70-80,1.484326179,2,Heated,75,20160517,-23.18,0.19,0.01,21.11,LBL_IRMS,NA
70-80,1.484326179,2,Heated,75,20180404,-22.84,0.100442323,0.003980528,25.23341908,UCD_SIF_IRMS,NA
70-80,1.484326179,2,Heated,75,20180404,-23.948,0.1827618,0.01041985,17.53977265,UZH,NA
80-90,1.466521104,2,Heated,85,20140603,NA,0.270196335,0.713006967,0.38,UCBerk_IRMS,0.034400441
80-90,1.466521104,2,Heated,85,20160517,NA,0.1,0.01,17.42,LBL_IRMS,0.009092683
80-90,1.466521104,2,Heated,85,20180404,-24.1775,0.227629,0.01045025,21.78215832,UZH,NA
80-90,1.466521104,2,Heated,85,20180404,-22.73,0.070051711,0.003283324,21.335607,UCD_SIF_IRMS,0.012150085
0-10,0.805036342,3,Control,5,20140603,NA,5.733259654,0.094948243,60.38,UCBerk_IRMS,0.613647725
0-10,0.805036342,3,Control,5,20160517,-26.17,4.57,0.2,23.08,LBL_IRMS,0.389206958
0-10,0.805036342,3,Control,5,20180404,-26.49,6.258883636,0.252807479,24.75750979,UCD_SIF_IRMS,0.233590697
0-10,0.805036342,3,Control,5,20180404,-26.348,6.6773886,0.2558027,26.1036674,UZH,NA
10-20,0.988212608,3,Control,15,20140603,NA,2.251552405,0.0350411,64.25,UCBerk_IRMS,0.174554057
10-20,0.988212608,3,Control,15,20160517,-24.98,1.86,0.09,20.98,LBL_IRMS,0.071136618
10-20,0.988212608,3,Control,15,20180404,-25.71,3.750822009,0.12363304,30.33834649,UCD_SIF_IRMS,0.102751502
10-20,0.988212608,3,Control,15,20180404,-25.0035,1.5639905,0.066417875,23.5477347,UZH,NA
20-30,1.142677254,3,Control,25,20140603,NA,1.160095612,0.034464072,33.66,UCBerk_IRMS,0.168474303
20-30,1.142677254,3,Control,25,20160517,-24.73,1.25,0.05,27.39,LBL_IRMS,NA
20-30,1.142677254,3,Control,25,20180404,-24.91,1.959880946,0.072450754,27.05121528,UCD_SIF_IRMS,NA
20-30,1.142677254,3,Control,25,20180404,-24.93833333,1.025733633,0.036756067,27.90651249,UZH,NA
30-40,1.268430279,3,Control,35,20140603,NA,0.912815832,0.020884439,43.71,UCBerk_IRMS,0.117231015
30-40,1.268430279,3,Control,35,20160517,-24.43,0.9,0.04,21.45,LBL_IRMS,0.12851008
30-40,1.268430279,3,Control,35,20180404,-24.57266667,0.598502967,0.024787367,24.14548406,UZH,NA
30-40,1.268430279,3,Control,35,20180404,-24.88,1.221494594,0.042654578,28.63689323,UCD_SIF_IRMS,0.141295114
40-50,1.365471685,3,Control,45,20140603,NA,0.536713391,0.022198273,24.18,UCBerk_IRMS,0.149195099
40-50,1.365471685,3,Control,45,20160517,-24.63,0.62,0.03,21.3,LBL_IRMS,NA
40-50,1.365471685,3,Control,45,20180404,-24.399,0.4803829,0.0214244,22.42223353,UZH,NA
40-50,1.365471685,3,Control,45,20180404,-24.64,0.629253034,0.028242091,22.28068117,UCD_SIF_IRMS,NA
50-60,1.43380147,3,Control,55,20140603,NA,0.735954593,0.021298277,34.55,UCBerk_IRMS,0.117521284
50-60,1.43380147,3,Control,55,20160517,NA,0.27,0.02,16.6,LBL_IRMS,0.036054318
50-60,1.43380147,3,Control,55,20180404,-24.42,0.487027705,0.018852516,25.83356505,UCD_SIF_IRMS,0.018053372
50-60,1.43380147,3,Control,55,20180404,-24.46933333,0.3724848,0.014291467,26.06344112,UZH,NA
60-70,1.473419635,3,Control,65,20140603,NA,1.246097344,2.865856807,0.43,UCBerk_IRMS,0.17280057
60-70,1.473419635,3,Control,65,20160517,-24.17,0.39,0.02,22.06,LBL_IRMS,NA
60-70,1.473419635,3,Control,65,20180404,-25.73,0.739549035,0.022236344,33.25857149,UCD_SIF_IRMS,NA
60-70,1.473419635,3,Control,65,20180404,-25.083,0.4582527,0.01373675,33.35961563,UZH,NA
70-80,1.484326179,3,Control,75,20140603,NA,0.34915804,0.017759891,19.66,UCBerk_IRMS,0.097060959
70-80,1.484326179,3,Control,75,20160517,-23.22,0.35,0.01,33.23,LBL_IRMS,NA
70-80,1.484326179,3,Control,75,20180404,-24.43,0.216860062,0.009711605,22.32999184,UCD_SIF_IRMS,NA
70-80,1.484326179,3,Control,75,20180404,-24.763,0.2808928,0.01059385,26.51470429,UZH,NA
80-90,1.466521104,3,Control,85,20140603,NA,0.77630662,0.015893526,48.84,UCBerk_IRMS,0.097138992
80-90,1.466521104,3,Control,85,20160517,NA,0.13,0.01,18.72,LBL_IRMS,0.013289812
80-90,1.466521104,3,Control,85,20180404,-23.9215,0.15551195,0.00608145,25.57152488,UZH,NA
80-90,1.466521104,3,Control,85,20180404,-23.94,0.175271629,0.007533588,23.26535769,UCD_SIF_IRMS,0.000519785
90-100,1.350239042,3,Control,95,20140603,NA,0.464563407,0.611721799,0.76,UCBerk_IRMS,0.122926544
0-10,0.805036342,3,Heated,5,20140603,NA,6.06752706,0.075327627,80.55,UCBerk_IRMS,0.912401048
0-10,0.805036342,3,Heated,5,20160517,-26.49,9.35,0.31,30.25,LBL_IRMS,0.490940443
0-10,0.805036342,3,Heated,5,20180404,-26.73,9.860621882,0.371188658,26.56498703,UCD_SIF_IRMS,0.36442249
0-10,0.805036342,3,Heated,5,20180404,-26.4035,5.3662476,0.1732762,30.96932874,UZH,NA
10-20,0.988212608,3,Heated,15,20140603,NA,1.790617237,0.042140704,42.49,UCBerk_IRMS,0.461397835
10-20,0.988212608,3,Heated,15,20160517,-25.62,2.87,0.11,26.13,LBL_IRMS,0.332569467
10-20,0.988212608,3,Heated,15,20180404,-25.53,4.243676278,0.163814892,25.90531432,UCD_SIF_IRMS,0.195399685
10-20,0.988212608,3,Heated,15,20180404,-25.931,2.5587685,0.0812858,31.4786654,UZH,NA
20-30,1.142677254,3,Heated,25,20140603,NA,0.832901661,0.023948525,34.78,UCBerk_IRMS,0.318332377
20-30,1.142677254,3,Heated,25,20160517,-24.54,1.26,0.06,20.54,LBL_IRMS,NA
20-30,1.142677254,3,Heated,25,20180404,-24.806,1.1880252,0.05169135,22.98305616,UZH,NA
20-30,1.142677254,3,Heated,25,20180404,-25.08,2.129200158,0.092990482,22.89696878,UCD_SIF_IRMS,NA
30-40,1.268430279,3,Heated,35,20140603,NA,0.535741348,0.021755845,24.63,UCBerk_IRMS,0.291328161
30-40,1.268430279,3,Heated,35,20160517,-24.53,0.79,0.04,18.9,LBL_IRMS,0.06976869
30-40,1.268430279,3,Heated,35,20180404,-25.014,0.83683385,0.0316654,26.4273892,UZH,NA
30-40,1.268430279,3,Heated,35,20180404,-24.63,1.003232834,0.044787069,22.40005552,UCD_SIF_IRMS,0.067303694
40-50,1.365471685,3,Heated,45,20140603,NA,0.470873005,0.014703407,32.02,UCBerk_IRMS,0.183507563
40-50,1.365471685,3,Heated,45,20160517,NA,0.32,0.02,15.48,LBL_IRMS,NA
40-50,1.365471685,3,Heated,45,20180404,-24.1815,0.53921115,0.0263317,20.47764292,UZH,NA
40-50,1.365471685,3,Heated,45,20180404,-24.14,0.622555626,0.030291738,20.55199411,UCD_SIF_IRMS,NA
50-60,1.43380147,3,Heated,55,20140603,NA,0.300251451,2.810024283,0.11,UCBerk_IRMS,0.132312631
50-60,1.43380147,3,Heated,55,20160517,NA,0.34,0.02,17.83,LBL_IRMS,0
50-60,1.43380147,3,Heated,55,20180404,-24.63,0.631257737,0.026903718,23.46358725,UCD_SIF_IRMS,0.035036256
50-60,1.43380147,3,Heated,55,20180404,-24.175,0.292386667,0.016214867,18.03201178,UZH,NA
60-70,1.473419635,3,Heated,65,20140603,NA,0.334879192,0.007680244,43.6,UCBerk_IRMS,0.147957948
60-70,1.473419635,3,Heated,65,20160517,-24.5,1.01,0.04,26.86,LBL_IRMS,NA
60-70,1.473419635,3,Heated,65,20180404,-24.01,0.341244885,0.012824048,26.60976407,UCD_SIF_IRMS,NA
60-70,1.473419635,3,Heated,65,20180404,-23.5155,0.19565145,0.009114,21.46713298,UZH,NA
70-80,1.484326179,3,Heated,75,20140603,NA,0.140542568,0.011063109,12.7,UCBerk_IRMS,0.060997141
70-80,1.484326179,3,Heated,75,20160517,-23.44,0.28,0.01,22.08,LBL_IRMS,NA
70-80,1.484326179,3,Heated,75,20180404,-23.34,0.197774978,0.009771064,20.2408848,UCD_SIF_IRMS,NA
70-80,1.484326179,3,Heated,75,20180404,-23.8305,0.2598902,0.0139829,18.58628754,UZH,NA
80-90,1.466521104,3,Heated,85,20140603,NA,0.361348302,0.006121899,59.03,UCBerk_IRMS,0.152904214
80-90,1.466521104,3,Heated,85,20160517,NA,0.12,0.01,18.74,LBL_IRMS,0.015467928
80-90,1.466521104,3,Heated,85,20180404,-23.693,0.2030372,0.0088238,23.01017702,UZH,NA
80-90,1.466521104,3,Heated,85,20180404,-23.86,0.171089488,0.007262048,23.5594005,UCD_SIF_IRMS,0.018413074
90-100,1.350239042,3,Heated,95,20140603,NA,0.125959073,0.008605346,14.64,UCBerk_IRMS,0.070558822
90-100,1.350239042,3,Heated,95,20160517,-24.04,0.25,0.01,24.55,LBL_IRMS,NA